MNTH,BRAND_NAME,RESTAURANT_ID,BRAND,CITY_CLASSIFICATION,ORDERS,FULFILLED_GMV,FREEBIE_BURN,S_BURN,R_BURN,REST_EO_BURN,REST_TD,TOTAL_DISCOUNT,Final R Burn,,,,
2025-07,Wow_Momo,911627,Wow_Momo,India_1,746,362810.2439,0,2804.22,5279.16,,152772,165660,158051.16,,,,
2025-07,Wow_Momo,424006,Wow_Momo,India_1,376,182865.1628,0,1372.5,2477.4,,73494.4,78924,75971.8,,,Old RIDs Only,
2025-07,Wow_Momo,13928,Wow_Momo,India_1,340,175504.6133,0,1640.19,2974.49,,71500.2,81272,74474.69,,,Orders,282718
2025-07,Wow_Momo,570125,Wow_Momo,India_2,735,353214.4865,0,844.65,1568.61,,155665,165377,157233.61,,,GMV,"₹ 14,39,60,464"
2025-07,Wow_Momo,419704,Wow_Momo,India_1,482,214234.8582,0,2037.71,3608.54,,84594.6,96197,88203.14,,,R Burn,62478858
2025-07,Wow_Momo,82909,Wow_Momo,India_1,627,328392.4653,0,3195.17,5844.16,,140799.9,154628,146644.06,,,NET GMV,77601529
2025-07,Wow_Momo,484588,Wow_Momo,India_1,271,148280.1664,0,1446.48,2579.15,,52629.5,58795,55208.65,,,Base GMV,67033794
2025-07,Wow_Momo,53858,Wow_Momo,India_1,301,169749.4396,0,1641.62,2898.67,,80282.4,88160,83181.07,,,Incremental GMV,10567735
2025-07,Wow_Momo,482342,Wow_Momo,India_1,320,168351.9487,0,714.9,1252.66,,77008.8,82146,78261.46,,,iRev,2113547
2025-07,Wow_Momo,230595,Wow_Momo,India_1,422,216651.162,0,1180.51,2194.94,,82181.7,88876,84376.64,,,,
2025-07,Wow_Momo,484906,Wow_Momo,India_1,1262,652865.5773,0,9548.48,17123.37,,257026.7,293450,274150.07,,,,
2025-07,Wow_Momo,609316,Wow_Momo,India_1,635,320284.9791,0,3071.19,5389.95,,125676.6,138068,131066.55,,,,
2025-07,Wow_Momo,615676,Wow_Momo,India_2,295,123450.2944,0,873.59,1708.08,,48894.3,56495,50602.38,,,,
2025-07,Wow_Momo,587544,Wow_Momo,India_1,1268,600936.9857,0,4506.76,8115.71,,242346.3,269727,250462.01,,,,
2025-07,Wow_Momo,998792,Wow_Momo,India_1,518,245834.163,0,4477.44,8379.36,,100193.6,116448,108572.96,,,,
2025-07,Wow_Momo,346123,Wow_Momo,India_1,359,152300.2126,0,1324.46,2369.68,,60313.7,70590,62683.38,,,,
2025-07,Wow_Momo,231513,Wow_Momo,India_1,291,146588.5663,0,1125.07,2136.89,,61040.8,65403,63177.69,,,,
2025-07,Wow_Momo,362209,Wow_Momo,India_1,522,268260.8719,0,1726.08,3049.79,,107995,115078,111044.79,,,,
2025-07,Wow_Momo,512590,Wow_Momo,India_1,1179,640058.6419,0,3826.56,6772.36,,300722.1,324418,307494.46,,,,
2025-07,Wow_Momo,263179,Wow_Momo,India_1,588,310840.437,0,2119.08,3681.04,,125672.7,135120,129353.74,,,,
2025-07,Wow_Momo,93785,Wow_Momo,India_1,621,269201.8565,0,1403.91,2526.51,,111273.6,126253,113800.11,,,,
2025-07,Wow_Momo,252695,Wow_Momo,India_1,449,223965.8013,0,2274.73,4049.41,,92143.1,101906,96192.51,,,,
2025-07,Wow_Momo,607645,Wow_Momo,India_1,922,452376.2986,0,2979.76,5403.63,,185636.8,199877,191040.43,,,,
2025-07,Wow_Momo,827145,Wow_Momo,India_2,668,334518.5753,0,1860.17,3648.77,,134000.7,146559,137649.47,,,,
2025-07,Wow_Momo,203407,Wow_Momo,India_1,1606,836663.6102,0,7202.74,13077.51,,340616.2,368168,353693.71,,,,
2025-07,Wow_Momo,1036084,Wow_Momo,India_2,313,145803.7923,0,1110.63,2148.28,,59921.5,66412,62069.78,,,,
2025-07,Wow_Momo,213122,Wow_Momo,India_1,466,226669.6691,0,773.66,1393.94,,96060.9,104006,97454.84,,,,
2025-07,Wow_Momo,26348,Wow_Momo,India_1,422,242117.1043,0,2189.54,3888.28,,105275.1,114821,109163.38,,,,
2025-07,Wow_Momo,893248,Wow_Momo,India_2,930,435935.4234,0,1994.99,3904.86,,177931.6,190478,181836.46,,,,
2025-07,Wow_Momo,569957,Wow_Momo,India_1,1216,627069.8355,0,4942.86,8629.34,,273063.8,293036,281693.14,,,,
2025-07,Wow_Momo,976930,Wow_Momo,India_1,499,259701.6317,0,1351.44,2631.19,,115610.8,122619,118241.99,,,,
2025-07,Wow_Momo,514901,Wow_Momo,India_2,596,262464.098,0,1066.2,2208.6,,103437.2,116429,105645.8,,,,
2025-07,Wow_Momo,785286,Wow_Momo,India_1,1533,818505.0305,0,7426.84,13241.77,,349204,381290,362445.77,,,,
2025-07,Wow_Momo,527041,Wow_Momo,India_1,738,350206.0976,0,2348.24,4325.19,,136213.4,149803,140538.59,,,,
2025-07,Wow_Momo,247334,Wow_Momo,India_1,803,475266.7141,0,2517.63,4428.1,,226197.7,237035,230625.8,,,,
2025-07,Wow_Momo,593677,Wow_Momo,India_2,146,65112.9654,0,602.5,1197.44,,26213,30158,27410.44,,,,
2025-07,Wow_Momo,244439,Wow_Momo,India_1,552,255907.2144,0,1795.53,3384.46,,100375.9,110407,103760.36,,,,
2025-07,Wow_Momo,518891,Wow_Momo,India_2,149,59710.14013,0,168.94,313.75,,23876.1,27787,24189.85,,,,
2025-07,Wow_Momo,185542,Wow_Momo,India_1,337,189722.7866,0,1371.95,2469.33,,81993,87439,84462.33,,,,
2025-07,Wow_Momo,402718,Wow_Momo,India_1,300,156585.6509,0,644.24,1153.53,,69676.8,73870,70830.33,,,,
2025-07,Wow_Momo,421053,Wow_Momo,India_1,447,236544.0497,0,1889.68,3299.7,,110415,119372,113714.7,,,,
2025-07,Wow_Momo,667980,Wow_Momo,India_1,341,162736.1068,0,804.96,1409.2,,66081.3,74166,67490.5,,,,
2025-07,Wow_Momo,737964,Wow_Momo,India_1,617,282520.3853,0,4651.69,8164.31,,105780,121435,113944.31,,,,
2025-07,Wow_Momo,38260,Wow_Momo,India_1,809,475045.8796,0,3347.6,5884.34,,233154,248827,239038.34,,,,
2025-07,Wow_Momo,13923,Wow_Momo,India_1,704,384719.1814,0,2108.94,3745.17,,173186.3,185377,176931.47,,,,
2025-07,Wow_Momo,211681,Wow_Momo,India_1,631,360930.6643,0,3724.81,6450.94,,163723,177614,170173.94,,,,
2025-07,Wow_Momo,452519,Wow_Momo,India_1,376,198283.1981,0,1114.75,1933.49,,82259.8,87761,84193.29,,,,
2025-07,Wow_Momo,63077,Wow_Momo,India_1,269,143984.3698,0,1868.33,3376.76,,64755.2,74554,68131.96,,,,
2025-07,Wow_Momo,15503,Wow_Momo,India_1,573,255813.109,0,3521.99,6414.95,,98993.5,113279,105408.45,,,,
2025-07,Wow_Momo,895434,Wow_Momo,India_1,704,389144.4727,0,2638.59,4672.29,,167326.6,179787,171998.89,,,,
2025-07,Wow_Momo,267802,Wow_Momo,India_1,941,513892.4915,0,2356.96,4558.53,,220449,231675,225007.53,,,,
2025-07,Wow_Momo,1005742,Wow_Momo,India_2,1323,701419.7479,0,4680.15,8580.83,,332389.8,364108,340970.63,,,,
2025-07,Wow_Momo,622617,Wow_Momo,India_2,356,144569.7079,0,2271.69,4443.75,,44260.9,55643,48704.65,,,,
2025-07,Wow_Momo,639006,Wow_Momo,India_1,705,364722.7188,0,3549.67,6182.66,,156420.4,173090,162603.06,,,,
2025-07,Wow_Momo,318316,Wow_Momo,India_1,566,304171.384,0,2550.16,4528.76,,124550.5,135101,129079.26,,,,
2025-07,Wow_Momo,265656,Wow_Momo,India_1,210,100887.6312,0,837.49,1462.46,,39610,43280,41072.46,,,,
2025-07,Wow_Momo,333734,Wow_Momo,India_1,959,521447.6071,0,4342.39,7647.75,,243485.7,265619,251133.45,,,,
2025-07,Wow_Momo,350034,Wow_Momo,India_1,204,96893.39295,0,346.22,642.95,,43397,46681,44039.95,,,,
2025-07,Wow_Momo,312149,Wow_Momo,India_1,1224,663070.3615,0,8119.08,14257.78,,272457,301438,286714.78,,,,
2025-07,Wow_Momo,181148,Wow_Momo,India_1,271,132437.982,0,1825.96,3288.86,,50791.2,59429,54080.06,,,,
2025-07,Wow_Momo,170934,Wow_Momo,India_1,278,136501.1515,0,2148.65,3868.8,,52871.1,62893,56739.9,,,,
2025-07,Wow_Momo,650819,Wow_Momo,India_1,1321,741484.9117,0,4740.9,8204.23,,341862.8,362954,350067.03,,,,
2025-07,Wow_Momo,798674,Wow_Momo,India_1,156,85830.44244,0,1453.75,2496.14,,36082.2,41644,38578.34,,,,
2025-07,Wow_Momo,634746,Wow_Momo,India_1,386,205795.9707,0,1316.5,2423.42,,85292,90439,87715.42,,,,
2025-07,Wow_Momo,886914,Wow_Momo,India_2,637,335011.6535,0,1601.56,2909.95,,161598,173692,164507.95,,,,
2025-07,Wow_Momo,722265,Wow_Momo,India_2,194,78533.23917,0,521.84,969.13,,30802.4,35302,31771.53,,,,
2025-07,Wow_Momo,875299,Wow_Momo,India_2,1297,658432.2821,0,2992.96,5536.77,,288546.7,306342,294083.47,,,,
2025-07,Wow_Momo,223884,Wow_Momo,India_1,212,96380.11755,0,476.25,898.73,,35492.7,38591,36391.43,,,,
2025-07,Wow_Momo,185225,Wow_Momo,India_1,719,367700.4997,0,4409.77,7626.55,,148854.5,168794,156481.05,,,,
2025-07,Wow_Momo,183908,Wow_Momo,India_1,618,328679.5251,0,2621.67,4703.82,,135298.9,147517,140002.72,,,,
2025-07,Wow_Momo,18517,Wow_Momo,India_1,657,343056.4958,0,5353.24,9184.45,,133805.8,154889,142990.25,,,,
2025-07,Wow_Momo,772159,Wow_Momo,India_1,489,269342.428,0,1419.73,2520.14,,115559,124156,118079.14,,,,
2025-07,Wow_Momo,785273,Wow_Momo,India_1,860,449852.9649,0,3381.93,6094.83,,186422.6,205254,192517.43,,,,
2025-07,Wow_Momo,678545,Wow_Momo,India_1,1523,791651.8691,0,9822.07,17380.68,,309834.8,346888,327215.48,,,,
2025-07,Wow_Momo,260442,Wow_Momo,India_1,476,255065.3042,0,1894.19,3272.65,,105726.4,114531,108999.05,,,,
2025-07,Wow_Momo,18519,Wow_Momo,India_1,922,459910.4065,0,3871.73,6874.43,,176221.9,195614,183096.33,,,,
2025-07,Wow_Momo,746147,Wow_Momo,India_1,717,354250.0962,0,2654.68,4824.24,,144379,155697,149203.24,,,,
2025-07,Wow_Momo,833330,Wow_Momo,India_1,839,423237.2278,0,4251.58,7511.93,,165003.2,188956,172515.13,,,,
2025-07,Wow_Momo,153548,Wow_Momo,India_1,476,235827.883,0,1813.74,3036.16,,94875,105531,97911.16,,,,
2025-07,Wow_Momo,864539,Wow_Momo,India_1,467,256957.974,0,2444.99,4973.58,,96270.8,106849,101244.38,,,,
2025-07,Wow_Momo,573965,Wow_Momo,India_1,180,84259.51297,0,877.49,1897.39,,30919,34604,32816.39,,,,
2025-07,Wow_Momo,992793,Wow_Momo,India_1,495,247566.1989,0,1496.73,2872.49,,106012,112154,108884.49,,,,
2025-07,Wow_Momo,642681,Wow_Momo,India_2,580,272654.1611,0,1607.56,3021.07,,112995.2,124961,116016.27,,,,
2025-07,Wow_Momo,232083,Wow_Momo,India_1,233,101744.0894,0,1761.74,3360.98,,34389.1,42215,37750.08,,,,
2025-07,Wow_Momo,467952,Wow_Momo,India_1,163,91774.93421,0,871.16,1496.39,,41191,44464,42687.39,,,,
2025-07,Wow_Momo,595301,Wow_Momo,India_1,299,156438.462,0,1635.8,3544.55,,61972.1,70722,65516.65,,,,
2025-07,Wow_Momo,584696,Wow_Momo,India_1,149,75685.33088,0,1186.49,2103.4,,29272,34037,31375.4,,,,
2025-07,Wow_Momo,304333,Wow_Momo,India_1,637,322744.8736,0,1465.32,2559.83,,132817.3,144420,135377.13,,,,
2025-07,Wow_Momo,1019951,Wow_Momo,India_2,270,117312.403,0,1233.85,2341.41,,47382.1,55542,49723.51,,,,
2025-07,Wow_Momo,918814,Wow_Momo,India_1,15,8070.872936,0,146.42,250.49,,3010,3452,3260.49,,,,
2025-07,Wow_Momo,419702,Wow_Momo,India_1,409,214252.9564,0,1413.93,2620.55,,86617.2,97553,89237.75,,,,
2025-07,Wow_Momo,609317,Wow_Momo,India_1,353,183357.443,0,1576.25,2744.41,,78820,84445,81564.41,,,,
2025-07,Wow_Momo,970862,Wow_Momo,India_1,276,125702.4992,0,2803.85,5249.87,,45719.8,55777,50969.67,,,,
2025-07,Wow_Momo,328307,Wow_Momo,India_1,785,385303.6355,0,3037.37,5355.03,,150254.6,167125,155609.63,,,,
2025-07,Wow_Momo,305422,Wow_Momo,India_1,400,200620.6021,0,1134.99,2014.94,,85516.9,92434,87531.84,,,,
2025-07,Wow_Momo,167396,Wow_Momo,India_1,333,148024.665,0,539.16,951.28,,60949.1,68822,61900.38,,,,
2025-07,Wow_Momo,411451,Wow_Momo,India_1,874,487611.5995,0,2389.72,4558.65,,209384,219618,213942.65,,,,
2025-07,Wow_Momo,570009,Wow_Momo,India_2,198,90595.88615,0,333.75,691.24,,39754,42799,40445.24,,,,
2025-07,Wow_Momo,577156,Wow_Momo,India_1,85,41149.34439,0,861.47,1542.66,,14821.4,17826,16364.06,,,,
2025-07,Wow_Momo,26352,Wow_Momo,India_1,484,244255.4306,0,1664.44,2840.99,,101323.6,109601,104164.59,,,,
2025-07,Wow_Momo,1000677,Wow_Momo,India_1,900,476327.1253,0,2298.67,4300.7,,212214,223014,216514.7,,,,
2025-07,Wow_Momo,101040,Wow_Momo,India_1,391,216734.0161,0,646.24,1078.71,,93725,97386,94803.71,,,,
2025-07,Wow_Momo,1060616,Wow_Momo,India_1,527,295654.6065,0,2376.94,4180.03,,138202.8,152561,142382.83,,,,
2025-07,Wow_Momo,20210,Wow_Momo,India_1,527,256025.519,0,2194.57,4000.55,,102068,110877,106068.55,,,,
2025-07,Wow_Momo,759230,Wow_Momo,India_1,650,348370.9288,0,2108.93,3835.79,,156452.2,168936,160287.99,,,,
2025-07,Wow_Momo,693212,Wow_Momo,India_1,643,358362.2029,0,3398.69,5984.49,,145214.3,159248,151198.79,,,,
2025-07,Wow_Momo,521118,Wow_Momo,India_1,405,196616.7208,0,3283.83,5849.7,,74889.6,88799,80739.3,,,,
2025-07,Wow_Momo,699418,Wow_Momo,India_2,446,190385.1229,0,1583.76,3179.47,,71390.5,82524,74569.97,,,,
2025-07,Wow_Momo,699425,Wow_Momo,India_1,1174,623963.8864,0,4962.1,8730.83,,248320.1,269150,257050.93,,,,
2025-07,Wow_Momo,51617,Wow_Momo,India_1,859,488387.9286,0,4288.53,7593.23,,218644,239803,226237.23,,,,
2025-07,Wow_Momo,484601,Wow_Momo,India_1,355,173938.509,0,1302.5,2347.46,,71369.4,78194,73716.86,,,,
2025-07,Wow_Momo,865550,Wow_Momo,India_2,745,390871.4174,0,2380.14,4352.34,,166154.4,183022,170506.74,,,,
2025-07,Wow_Momo,128817,Wow_Momo,India_1,1340,696287.588,0,5361.16,9331.67,,270451.5,299856,279783.17,,,,
2025-07,Wow_Momo,568700,Wow_Momo,India_1,201,88927.44849,0,543,879.82,,38586.8,43696,39466.62,,,,
2025-07,Wow_Momo,864534,Wow_Momo,India_1,850,477464.4834,0,3870.37,6810.5,,191664.8,208006,198475.3,,,,
2025-07,Wow_Momo,27854,Wow_Momo,India_1,573,270891.7536,0,5312.6,9569.02,,98531.2,116531,108100.22,,,,
2025-07,Wow_Momo,244007,Wow_Momo,India_1,1137,589658.7227,0,8181.46,14856.99,,245493.2,276646,260350.19,,,,
2025-07,Wow_Momo,458857,Wow_Momo,India_1,898,495578.2289,0,5206.3,9330.69,,233922.2,256681,243252.89,,,,
2025-07,Wow_Momo,874675,Wow_Momo,India_1,905,399693.5822,0,2783.1,5104.82,,158385,170241,163489.82,,,,
2025-07,Wow_Momo,223838,Wow_Momo,India_1,404,219233.822,0,1369.17,2569.22,,96717.6,104768,99286.82,,,,
2025-07,Wow_Momo,360967,Wow_Momo,India_1,1032,528489.0354,0,5840.07,10303.5,,218331.3,239884,228634.8,,,,
2025-07,Wow_Momo,73859,Wow_Momo,India_1,516,256686.6716,0,966.97,1824.37,,105110.9,114265,106935.27,,,,
2025-07,Wow_Momo,656474,Wow_Momo,India_1,995,523660.8779,0,3207.32,5593.45,,222049.5,237208,227642.95,,,,
2025-07,Wow_Momo,604580,Wow_Momo,India_1,452,233543.9788,0,1500.58,2533.16,,107890.3,115473,110423.46,,,,
2025-07,Wow_Momo,966447,Wow_Momo,India_1,675,359454.745,0,3302.96,5798.21,,158172.1,171070,163970.31,,,,
2025-07,Wow_Momo,772164,Wow_Momo,India_1,97,45444.89969,0,311.97,579.34,,18735.7,20520,19315.04,,,,
2025-07,Wow_Momo,699424,Wow_Momo,India_1,710,375048.7612,0,2652.71,4779.09,,152209.1,163849,156988.19,,,,
2025-07,Wow_Momo,624736,Wow_Momo,India_1,401,226606.0313,0,2960.63,5073.18,,92722.2,104746,97795.38,,,,
2025-07,Wow_Momo,407381,Wow_Momo,India_1,742,399719.9071,0,4259.84,7205.22,,157238.7,174592,164443.92,,,,
2025-07,Wow_Momo,363823,Wow_Momo,India_1,930,452619.9023,0,4163.79,7396.92,,197892.7,214326,205289.62,,,,
2025-07,Wow_Momo,262054,Wow_Momo,India_1,262,129321.2,0,1667.77,3192.91,,49572.8,56252,52765.71,,,,
2025-07,Wow_Momo,1125569,Wow_Momo,India_1,228,104273.0047,0,5161.2,9213.17,,12925,32724,22138.17,,,,
2025-07,Wow_Momo,967723,Wow_Momo,India_2,272,118516.8172,0,1358.99,2523.77,,47389.1,55557,49912.87,,,,
2025-07,Wow_Momo,971026,Wow_Momo,India_1,576,262181.8257,0,2438.64,4630.29,,102338.1,112513,106968.39,,,,
2025-07,Wow_Momo,1123783,Wow_Momo,India_2,202,122663.945,0,511,908.96,,32407,36384,33315.96,,,,
2025-07,Wow_Momo,642660,Wow_Momo,India_1,47,23071.18321,0,87.5,162.49,,9424.5,10321,9586.99,,,,
2025-07,Wow_Momo,341676,Wow_Momo,India_1,274,125042.3446,0,815.55,1471.71,,50250.5,57540,51722.21,,,,
2025-07,Wow_Momo,557347,Wow_Momo,India_1,194,84905.25629,0,470.7,845.6,,37078.1,43500,37923.7,,,,
2025-07,Wow_Momo,622002,Wow_Momo,India_1,218,114725.1818,0,1018.38,1649.84,,46762.7,51621,48412.54,,,,
2025-07,Wow_Momo,966227,Wow_Momo,India_2,66,31482.08479,0,218.75,406.24,,13575,14935,13981.24,,,,
2025-07,Wow_Momo,943968,Wow_Momo,India_2,381,176874.0398,0,936.29,1824.22,,71902.6,80172,73726.82,,,,
2025-07,Wow_Momo,742700,Wow_Momo,India_1,1098,545277.4897,0,6777.99,12191.06,,233297.1,256909,245488.16,,,,
2025-07,Wow_Momo,312124,Wow_Momo,India_1,1551,790391.9107,0,6895.92,12227.24,,342702,367129,354929.24,,,,
2025-07,Wow_Momo,41471,Wow_Momo,India_1,397,243501.7107,0,1517.85,2951.02,,122001,132168,124952.02,,,,
2025-07,Wow_Momo,218946,Wow_Momo,India_1,255,145820.8796,0,1836.84,3388.03,,62666.2,70859,66054.23,,,,
2025-07,Wow_Momo,642657,Wow_Momo,India_1,170,72135.12511,0,769.69,1372.25,,28682.4,32822,30054.65,,,,
2025-07,Wow_Momo,169703,Wow_Momo,India_2,396,170518.2105,0,735.59,1337.51,,68786.5,78357,70124.01,,,,
2025-07,Wow_Momo,151217,Wow_Momo,India_1,766,377526.71,0,2930.42,5138.94,,146741.2,163995,151880.14,,,,
2025-07,Wow_Momo,648919,Wow_Momo,India_1,400,191839.0113,0,883.18,1654.18,,87465.2,96757,89119.38,,,,
2025-07,Wow_Momo,1018997,Wow_Momo,India_1,248,117089.7612,0,1141,2128.96,,48288.8,53978,50417.76,,,,
2025-07,Wow_Momo,15684,Wow_Momo,India_1,266,137051.4768,0,2099.44,3748.84,,55886.9,66558,59635.74,,,,
2025-07,Wow_Momo,32288,Wow_Momo,India_1,149,81746.71431,0,291.23,483.73,,35511.2,37873,35994.93,,,,
2025-07,Wow_Momo,523239,Wow_Momo,India_1,116,58830.12655,0,565,909.98,,26215,28569,27124.98,,,,
2025-07,Wow_Momo,58573,Wow_Momo,India_1,748,435494.718,0,4102.39,7220.01,,199994,217945,207214.01,,,,
2025-07,Wow_Momo,750674,Wow_Momo,India_1,221,106960.8766,0,1671.13,2996.32,,42616,48809,45612.32,,,,
2025-07,Wow_Momo,952687,Wow_Momo,India_2,1224,580494.5609,0,1805.24,3434.58,,277480.6,301042,280915.18,,,,
2025-07,Wow_Momo,302061,Wow_Momo,India_1,347,191482.657,0,1710.34,2926.31,,87293.8,96960,90220.11,,,,
2025-07,Wow_Momo,32285,Wow_Momo,India_1,487,239034.4106,0,3611.24,6413.55,,92041,104905,98454.55,,,,
2025-07,Wow_Momo,704796,Wow_Momo,India_1,401,239148.5431,0,1653.88,2949.93,,108883,115392,111832.93,,,,
2025-07,Wow_Momo,21402,Wow_Momo,India_1,265,129216.1964,0,1029.65,1857.93,,52357.8,56466,54215.73,,,,
2025-07,Wow_Momo,98067,Wow_Momo,India_1,491,285218.2122,0,2063.24,3596.63,,127764.2,136216,131360.83,,,,
2025-07,Wow_Momo,333179,Wow_Momo,India_1,374,185160.9384,0,1391.23,2458.68,,76383,81863,78841.68,,,,
2025-07,Wow_Momo,410276,Wow_Momo,India_1,952,509501.4956,0,4430.46,7742.82,,202144.6,219428,209887.42,,,,
2025-07,Wow_Momo,646876,Wow_Momo,India_2,255,134302.0038,0,518.65,963.19,,57887.6,62428,58850.79,,,,
2025-07,Wow_Momo,675348,Wow_Momo,India_1,371,198263.2548,0,1346.14,2332.11,,82088.9,87928,84421.01,,,,
2025-07,Wow_Momo,13918,Wow_Momo,India_1,407,217782.6291,0,1490.8,2615.05,,92389.6,102802,95004.65,,,,
2025-07,Wow_Momo,1125579,Wow_Momo,India_2,133,54166.91839,0,2852.89,5212.39,,11916,23296,17128.39,,,,
2025-07,Wow_Momo,610739,Wow_Momo,India_2,55,27139.36747,0,215.72,400.62,,11787,13388,12187.62,,,,
2025-07,Wow_Momo,299135,Wow_Momo,India_1,628,332304.2748,0,2051.78,3643.25,,139772,153997,143415.25,,,,
2025-07,Wow_Momo,393713,Wow_Momo,India_1,499,263329.3078,0,3276.24,5927.88,,112482,123706,118409.88,,,,
2025-07,Wow_Momo,244438,Wow_Momo,India_1,560,286648.9577,0,2167.63,3989.83,,123269,132736,127258.83,,,,
2025-07,Wow_Momo,992789,Wow_Momo,India_1,494,255168.3598,0,1428.82,2725.98,,110512,117058,113237.98,,,,
2025-07,Wow_Momo,659629,Wow_Momo,India_1,455,199581.2797,0,2223.8,4101.25,,71250.2,82146,75351.45,,,,
2025-07,Wow_Momo,806604,Wow_Momo,India_1,385,200815.7244,0,1873.06,3392.79,,80225.5,87884,83618.29,,,,
